description,amount,date,category
INTERAC MINISTRY OF SOCIAL DEVELOPMENT OMAN AL MAWALEH,686.6,2026-02-28,Government Support and Pensions
TRFTORENNAMOBILE,-71.02,2025-12-01,Telecom
OMAN AIR SALARY PAYMENT,12683.4,2026-02-28,Salary / Payroll
britishcouncilomanCOCHRANEALBERTA,-7570.11,2026-01-08,Education
RECEIPTALHAILPROPERTIESNIZWA,-1195.22,2026-01-13,Rent Payments
CERTIFIED CHEQUE FEE CANADA CARD*2228,-217.96,2026-04-08,Bank Charges
ATM Cash DEP Canteen Toronto 210143,-109.31,2026-04-05,Dining and Cafes
RECEIVED_FROM_Sedgwick_Canada,851.48,2026-03-30,Insurance
PAYMENTTOSURREYMEMORIALHOSPITALFORJuly2020,-1595.87,2026-01-03,Medical and Health
EmissionsTestOntarioTrnsfr,2939.87,2026-01-29,Vehicle Loans and Fines
MASTERCARD ROGERS CENTRE TORONTO *4995,-34.98,2026-03-07,Entertainment and Leisure
POS GOPEER CANADA **2806,-11090.11,2026-03-05,Loan Payments
Mazoon College - payment,-3163.7,2026-04-18,Education
Sonnet Insurance Trnsfr,783.66,2026-05-28,Insurance
ONLINE PURCHASE OMAN TAX AUTHORITY,-112.63,2025-12-10,Government Services
EDVANCE EDUCATION TXNID:3947260,-8845.94,2026-02-21,Education
ATM Cash DEP Canadian Tire Centre Ottawa 163116,-58.7,2026-01-05,Entertainment and Leisure
ECOFUELOMAN#8915,-11664.7,2026-01-03,Fuel and Transport
E-TRANSFER FRIENDI MOBILE,-92.28,2026-04-08,Telecom
MASTERCARD ROGERS PREPAID CANADA *6144,-90.03,2025-11-08,Telecom
txn MOBILE SHOP CANADA,-123.31,2026-03-08,Shopping & Retail
TD SALARY DEPOSIT_GUE,9214.13,2026-11-29,Salary / Payroll
ONTARIODISABILITYSUPPORTPROGRAM_HIG,199.64,2026-11-30,Government Support and Pensions
ATM Cash Withdrw Sur Municipality Services 885550 10:33:02,-281.22,2026-03-06,Housing and Utilities
POSFLEXOFFERSCANADA**4008,2591.23,2026-02-28,Business or Freelance Income
www.bcaaroadsidebc.com,-29215.68,2026-01-18,Fuel and Transport
INTERAC BADIALI PIZZA WATTAYAH,-62.57,2025-11-01,Dining and Cafes
VISA DEBIT PORT OF SALALAH SALARY JAL,29488.32,2026-03-29,Salary / Payroll
ALHILALSOCIETYOMANSERVICECHARGE,-9719.67,2025-12-02,Charity Donations
PUR-UNITEDWA,-1531.11,2026-02-23,Charity Donations
www.playnationoman.com,-78.8,2026-04-26,Entertainment and Leisure
POS404360-thw-eladcanada,-1748.63,2026-01-09,Rent Payments
ONLINE PURCHASE CITY OF HALIFAX SERVICES,-200.35,2026-01-05,Government Services
ATM Cash DEP GO Transit 719982,-1285.34,2026-03-06,Fuel and Transport
POSMINISTRYOFSOCIALDEVELOPMENTOMAN**5516,458.59,2026-12-30,Government Support and Pensions
ArabInternationalConnectStore#592,-72.83,2025-12-10,Telecom
cambriancreditunionKELOWNA,232.56,2026-11-29,Bank Charges
Transfer from Muscat Grand Mall,68.71,2026-03-29,Entertainment and Leisure
@khoulahospital,-2021.33,2026-05-07,Medical and Health
ONLINEPURCHASEMETROVANCOUVERWATER,-63.01,2026-02-07,Housing and Utilities
INTERAC CPR SALARY CANADA GATINEAU,24510.16,2025-12-30,Salary / Payroll
MOHAWKCOLLEGELLC,-8444.58,2026-04-01,Education
MAJAN UNIVERSITY PAYMENT,-9688.62,2026-05-05,Education
PARKDALE COMMUNITY CENTRE / WINDSOR ONTARIO,-8709.51,2026-02-08,Charity Donations
GREAT GULF HOMES CANADA_SAL,-1531.35,2026-04-03,Rent Payments
CRAVETVCANADA:REC,-57.25,2026-02-18,Entertainment and Leisure
VISADEBITKELLERWILLIAMSCANADAOKO,-454.47,2026-03-25,Rent Payments
DHOFAR UNIVERSITY SERVICE CHARGE,-1015.07,2026-02-06,Education
Wallet Trx 1151331963155 APPLE TV CANADA SUB,-941.42,2026-04-01,Other / Uncategorized
ALOMANIYAFINANCIALSERVICES/MIRBAT,-18004.0,2026-05-10,Loan Payments
williams-sonomacanadaGANDER,-79.85,2026-02-27,Home Goods and Furniture
TD BANK CANADA#8382,-42.96,2026-04-04,Bank Charges
RECEIVED_FROM_Al_Shifa_Pharmacy_Oman,1090.76,2026-04-28,Medical and Health
TRF OMANTEL POSTPAID,-97.08,2026-02-27,Telecom
CODEABLE INCOME PAYMENT,2239.06,2025-11-28,Business or Freelance Income
POSPURCHASEEMPLOI-QUEBECAug26,-339.73,2026-04-10,Government Services
Wj Towell Real Estate Store #553,-1148.2,2025-12-09,Rent Payments
Meridian Credit Payroll x4664,10068.29,2026-04-30,Salary / Payroll
POS938401-thw-bosestorecanada,-22.83,2025-11-02,Shopping & Retail
PAYMENT TO CANADIAN FOOD INSPECTION AGENCY FOR November 2021,-846.81,2026-01-02,Government Services
ATM Cash Withdrw WJ Towell Auto 592026 23:49:05,-34242.77,2026-01-05,Fuel and Transport
RECEIVED_FROM_Dhofar_Cooperative,141.63,2025-11-28,Groceries
INTERAC AXA OMAN SAINT JOHN,-28.65,2025-12-05,Insurance
Public Mobile Canada Store #476,-64.46,2026-01-01,Telecom
RECEIVED_FROM_Hamptons_International_Oman,842.55,2025-02-28,Rent Payments
PUR-NIZWAMUN,-521.59,2025-12-12,Government Services
ATM Cash Withdrw BC Government Salary 849067 03:48:36,17348.98,2026-01-30,Salary / Payroll
BANK DHOFAR TERM DEPOSITPOSNEW GLASGOW,-1315.91,2026-01-09,Savings and Investments
OMAN TAX AUTHORITY / CALGARY,-260.64,2026-02-06,Government Services
suncorenergycanadaNORTH YORK,-45669.41,2025-12-26,Fuel and Transport
iStore Oman x4178,-166.25,2026-04-01,Shopping & Retail
Payment:CRUST PIZZA OMAN,-31.96,2026-02-27,Dining and Cafes
PAYPA_54,6420.75,2025-12-28,Business or Freelance Income
Payment:BREAD BASKET OMAN,-6.75,2026-03-14,Dining and Cafes
UQAM MONTREAL SERVICE CHARGE,-14907.48,2026-04-28,Education
ATM Cash Withdrw Rainbow Cinemas Canada 951859 01:16:04,-49.54,2026-02-07,Entertainment and Leisure
Oman Investment Certificate x3141,-616.16,2026-03-02,Savings and Investments
ATM Cash Withdrw Circle K Canada 755425 14:44:24,-59.05,2026-04-01,Groceries
POS UHN TORONTO **1769,-2196.76,2026-03-16,Medical and Health
txn VISION INSURANCE OMAN,-143.4,2026-04-03,Insurance
omanhorseracingtrsf,-48.47,2026-05-21,Entertainment and Leisure
www.scandinaviandesignscanada.com,-198.2,2025-12-19,Home Goods and Furniture
POS PURCHASE NATIONAL BANK PAYROLL Aug 20,11140.58,2025-04-30,Salary / Payroll
ATM Cash DEP Sur University College 508864,-1079.34,2026-01-08,Education
TRFONTARIOTELEMEDICINENETWORK,-2082.8,2026-03-10,Medical and Health
CITY OF CALGARY PARKING TICKET_64788,-9050.03,2026-02-10,Vehicle Loans and Fines
MASTERCARD ENAYA CARE OMAN *9023,-592.95,2026-01-06,Insurance
INTERACHIGHWAY401TOLLREGINA,-11639.55,2025-11-26,Vehicle Loans and Fines
Canada Emergency Wage Subsidy CEWS - payment,885.4,2025-01-30,Government Support and Pensions
ASTER DM HEALTHCARE OMAN_51271,-2396.6,2026-01-06,Medical and Health
TransferfromMPIManitobaTicket,-3548.6,2026-05-04,Vehicle Loans and Fines
L'OCCITANE CANADA *2522,-263.11,2026-01-10,Shopping & Retail
ONLINE PURCHASE SALAMAIR,-4067.2,2025-12-13,Travel and Hotels
TRF TO SLACK OMAN,-393.07,2026-01-01,Other / Uncategorized
NAUKRI GULF OMANPOSTHUNDER BAY,-152.57,2026-02-06,Other / Uncategorized
Al Amerat Market x2567,-246.65,2025-12-22,Groceries
INTERAC MARRIOTT CALGARY TRENTON ONTARIO,-901.63,2026-04-28,Travel and Hotels
Shati Al Qurum Cafe - payment,-51.29,2026-01-08,Dining and Cafes
MERIDIAN RRSP CANADAPOSTRENTON ONTARIO,-1181.15,2025-11-06,Savings and Investments
OAKENFINANCIALCANADASERVICECHARGE,-258.79,2025-12-09,Bank Charges
TRF LEVI'S OMAN,-290.19,2026-04-10,Shopping & Retail
PUR-NAMSHIOM,-927.02,2026-04-05,Other / Uncategorized
@onlyfanscanada,-277.82,2026-03-15,Other / Uncategorized
www.rentpaymentottawa.com,-746.92,2025-12-03,Rent Payments
UNION_39,-43.22,2026-01-08,Housing and Utilities
MAKE-A-WISH CANADAPOSGUELPH,-8666.56,2026-05-21,Charity Donations
CalgaryPublicLibrary-payment,-338.18,2026-01-05,Government Services
RECEIVED_FROM_Ontario_Trillium_Benefit,162.97,2026-04-30,Government Support and Pensions
SOBEY_87,-141.68,2025-12-25,Groceries
GOPEERCANADA/SASKATOON,-6918.61,2026-01-02,Loan Payments
Fran's Restaurant Trnsfr,187.38,2025-02-28,Dining and Cafes
www.pricelinecanada.com,-1545.29,2026-03-21,Travel and Hotels
OMAN KART TRACK *2519,-13.46,2026-02-04,Entertainment and Leisure
ATM Cash DEP Pacific Coastal Airlines 212476,-39421.01,2026-02-06,Fuel and Transport
cafpaycanadaBRANDONMANITOBA,881.66,2026-11-29,Government Support and Pensions
ATM Cash Withdrw Bank Nizwa Personal Finance 241617 07:05:02,-12465.97,2026-01-03,Loan Payments
txn ILAC CANADA,-13069.3,2025-11-06,Education
ROYALHOSPITALOMANPAYMENT,-1005.77,2026-03-08,Medical and Health
www.juweiraboutiquehotel.com,-2340.62,2026-02-01,Travel and Hotels
WAL Cr9505911273300 BM,-22.33,2026-04-01,Entertainment and Leisure
DISNEY PLUS CANADA / ANCASTER,-35.1,2026-03-19,Entertainment and Leisure
MUSCATHILLSRESORT:PAY,-3310.49,2026-03-03,Travel and Hotels
WP ENGINE CANADA *3011,-309.53,2026-03-01,Other / Uncategorized
@fastspringcanada,5641.97,2026-12-28,Business or Freelance Income
MASTERCARD NATIONAL LIFE INSURANCE OMAN *3609,-203.83,2026-02-20,Insurance
ALQURUMCOLDSTORESERVICECHARGE,-15.59,2026-04-26,Groceries
RECEIVED_FROM_National_Bank_Direct_Brokerage,1608.85,2025-11-30,Savings and Investments
omnikingedwardhotelNEPEAN,-4206.58,2026-03-08,Travel and Hotels
@nintendoeshopcanada,-60.21,2025-11-04,Entertainment and Leisure
PRIMUSCANADA_48737,-5.89,2026-05-16,Telecom
SHAW BLUESKY TV CARD*2712,-11.79,2026-05-02,Telecom
@mpimanitobaticket,-8964.37,2026-04-04,Vehicle Loans and Fines
POS 921194-thw-sun&sandsports,-63.5,2026-04-06,Shopping & Retail
AlAdilTradingOman-payment,-359.97,2025-11-07,Home Goods and Furniture
E-TRANSFERIBRIMUNICIPALITY,-39.04,2026-02-05,Government Services
txn TOWELL PROPERTIES,-1499.65,2026-03-07,Rent Payments
TRF BOWLING CITY OMAN,-47.37,2025-12-01,Entertainment and Leisure
RECEIVED_FROM_Laurentian_Bank_Canada,5.48,2025-12-29,Bank Charges
www.hellofreshcanada.com,-282.57,2026-01-15,Other / Uncategorized
POS AL HAMRA FURNITURE **5230,-194.4,2026-02-05,Home Goods and Furniture
www.quickfuelstation.com,-40905.73,2026-02-05,Fuel and Transport
Appletree Medical Group x3873,-1286.98,2026-01-05,Medical and Health
POSYMCACANADA**1959,-2305.03,2026-05-02,Medical and Health
PAYMENT TO SEEF PHARMACY FOR July 2023,-3977.96,2026-05-20,Medical and Health
INTERAC CANADORE COLLEGE COBOURG,-786.32,2026-05-27,Education
ATM Cash DEP Industrial Alliance Canada 734322,-618.42,2025-12-01,Insurance
CANADIANTIREHOMECANADALTD,-238.08,2026-01-11,Home Goods and Furniture
PAYMENTTOPIMCOCANADAFORFebruary2021,-889.91,2026-01-07,Savings and Investments
POS 253831-ICE WIRELESS CANADA - 43 P O BOX 295,-40.53,2026-03-17,Telecom
COUNTRYINNSUITESTORONTO2012,-1907.88,2026-01-10,Travel and Hotels
Payment:FIRSTABUDHABIBANKOMAN,-271.45,2026-05-12,Bank Charges
Payment:NEW HO KING TORONTO,-151.09,2026-04-17,Dining and Cafes
AXIOM TELECOM OMAN_DRU,-489.42,2026-02-23,Shopping & Retail
@omancarrentals,-9797.26,2026-01-07,Fuel and Transport
OOREDOO5GOMAN*9049,-87.33,2025-12-02,Telecom
ATM Cash DEP Muscat International School 205868,-3222.91,2026-03-08,Education
MASTERCARD MOM LICENSING OMAN *4403,-70.02,2026-04-04,Government Services
NOON.COMELECTRONICSOMANLLC,-853.05,2026-02-11,Other / Uncategorized
AlFalajHotelTrnsfr,2860.02,2025-12-30,Travel and Hotels
FINANCIAL CONSUMER AGENCY CANADA SAOG,-11.07,2025-11-10,Government Services
Payment:HALTON HEALTHCARE,-4073.37,2025-12-06,Medical and Health
TRF STREET CAPITAL GROUP CANADA,-349.85,2026-04-03,Bank Charges
Nandos - payment,-69.64,2025-11-01,Dining and Cafes
POS PURCHASE AWASR MONTHLY BILL Apr 24,-40.7,2026-02-01,Telecom
Transfer from Canada Recovery Caregiving Benefit CRCB,840.88,2025-03-28,Government Support and Pensions
INTERAC FAIRSTONE FINANCIAL CANADA WATTAYAH,-654.39,2026-04-18,Loan Payments
ALTERNA SAVINGS GIC CARD*3817,-368.71,2026-03-05,Savings and Investments
NATIONAL AUTHORISATION SYSTEM OMANPOSNEW WESTMINSTER,-918.74,2026-02-23,Government Services
ATM Cash DEP Mohawk Gas Canada 810012,-49324.74,2026-04-10,Fuel and Transport
Wallet Trx 7116167785430 MAJAN ELECTRICITY,-211.41,2026-02-28,Housing and Utilities
Lancome Canada Trnsfr,496.58,2026-12-30,Shopping & Retail
www.sayadrestaurant.com,-175.56,2025-12-09,Dining and Cafes
CAMHT_26,-480.19,2026-04-01,Medical and Health
Rogers Wireless Canada - payment,-47.79,2026-01-05,Telecom
NATIONAL BANK MORTGAGE CANADA:TRF,-7079.75,2025-12-08,Loan Payments
TRF TO NATIONAL GAS COMPANY OMAN,-185.09,2025-12-02,Housing and Utilities
BANK OF MUSCAT BRANCHES_WHI,-450.2,2026-02-03,Bank Charges
NizwaInternationalSchoolTrnsfr,10371.9,2025-03-29,Education
WALCr5674848469285BM,-306.8,2026-05-19,Government Services
POS CITY OF VANCOUVER PAYROLL **7238,14637.21,2026-01-29,Salary / Payroll
POS 261458-thw-myconnectoman,-97.84,2026-03-03,Telecom
RECEIVED_FROM_Toronto_District_School_Board,13601.29,2026-01-29,Education
RECEIPT PATAGONIA CANADA YELLOWKNIFE,-21.4,2025-11-05,Shopping & Retail
BEITA_43,-6327.89,2026-03-01,Charity Donations
DHOFARBUSCOMPANYCARD*3738,-14043.23,2025-12-13,Fuel and Transport
HALIFAX WATER *1390,-238.56,2026-03-13,Housing and Utilities
SEDGWICK CANADA:REC,-455.88,2025-11-07,Insurance
HIGHWAY 401 TOLL *1714,-3947.13,2026-04-05,Vehicle Loans and Fines
RECEIPT KIA FINANCE OMAN NANAIMO,-6124.14,2025-12-02,Vehicle Loans and Fines
MILESTONES GRILL:TRF,-90.48,2025-12-02,Dining and Cafes
ONTARIO COURT FINE 1810,-11364.99,2025-12-03,Vehicle Loans and Fines
waveappsomanSYDNEY NOVA SCOTIA,-740.33,2025-12-10,Other / Uncategorized
JEEP SERVICE OMAN#4080,-43573.3,2025-12-23,Fuel and Transport
Transfer from Franklin Templeton Canada,921.84,2026-04-30,Savings and Investments
POS TRIP.COM OMAN **4769,-1265.52,2026-04-02,Travel and Hotels
TORONTOHYDROSALARY/AIRDRIE,15275.2,2026-02-28,Salary / Payroll
AL KHALIJ COMMERCIAL BANK LOAN SERVICE CHARGE,-17544.23,2026-03-13,Loan Payments
SAFEWAY CANADAPOSKINGSTON ONTARIO,-239.55,2026-04-12,Groceries
honda finance oman trsf,-3627.48,2025-12-05,Vehicle Loans and Fines
PAULINC,-96.1,2026-03-01,Dining and Cafes
E-TRANSFER FAT PASHA TORONTO,-212.14,2026-05-21,Dining and Cafes
CN Rail Salary Trnsfr,25040.7,2026-03-30,Salary / Payroll
POS MOVEMBER CANADA **7005,-7420.45,2025-11-07,Charity Donations
TRFMUSCATDIVINGADVENTURECENTRE,-33.8,2025-11-10,Entertainment and Leisure
CIBC INSURANCE CANADA 2606,-375.27,2026-04-20,Insurance
google play canada payment,-44.74,2026-03-16,Entertainment and Leisure
PAYMENT TO SAMSUNG STORE OMAN FOR July 2021,-287.69,2026-04-16,Shopping & Retail
TRFTOALTERNAFINANCIALCANADA,-120.72,2026-01-25,Bank Charges
CANADIANENVIRONMENTALLAWASSOCIATION_60464,-7491.68,2026-05-05,Charity Donations
txn LOANMART CANADA,-14340.3,2026-01-10,Loan Payments
marcilcanadaLANGLEY,-484.7,2026-02-17,Home Goods and Furniture
@cibcautofinancecanada,-2550.94,2025-12-09,Vehicle Loans and Fines
POS597942-OOREDOOHOMEBROADBAND-997POBOX587,-187.72,2026-04-07,Telecom
ATM Cash Withdrw National Payroll Oman 753263 21:41:58,8034.16,2026-12-29,Salary / Payroll
SALALAHFREEZONEAUTHORITY/WADIALKABIR,-33.44,2026-03-07,Government Services
POS OMAN ASSOCIATION FOR BLIND **7875,-6524.35,2026-04-09,Charity Donations
Shaw Mobile Canada Trnsfr,142.43,2026-02-28,Telecom
HYATT PLACE TORONTO TXNID:5914307,-4348.54,2026-04-08,Travel and Hotels
WAL Cr5256726596128 BM,-180.25,2026-02-15,Shopping & Retail
PUR-ZOOMSUBS,-455.43,2026-03-16,Other / Uncategorized
QUICKBOOKS PAYROLL CANADA_49332,29452.85,2026-03-30,Salary / Payroll
ONLINE PURCHASE FIKA CAFE TORONTO,-214.42,2026-01-15,Dining and Cafes
SAFETYDEPOSITCANADACARD*3556,-433.92,2026-02-13,Bank Charges
Payment:OTTAWA AIRPORT PARKING,-49339.65,2026-02-07,Fuel and Transport
TRFBAUSHERREALESTATE,-1354.15,2025-11-03,Rent Payments
TRF TO DUNE LONDON OMAN,-300.46,2026-01-08,Shopping & Retail
WAL Cr8024152719111 BM,-76.26,2026-03-07,Shopping & Retail
www.binalisupermarket.com,-104.23,2026-04-06,Groceries
Payworks Canada x6784,13798.98,2026-03-28,Salary / Payroll
POS 285134-FEDERATED COOPS CANADA - 149 P O BOX 668,-57.56,2026-03-23,Groceries
POS 378537-CHUM MONTREAL - 153 P O BOX 653,-4883.23,2026-05-28,Medical and Health
PASIDISABILITYBENEFITCARD*6058,409.74,2026-03-30,Government Support and Pensions
MASTERCARD DAR AL ATTA'A *7158,-7104.11,2025-11-17,Charity Donations
RECEIVED_FROM_Weebly_Canada,397.28,2026-05-30,Other / Uncategorized
BARKAMARKET/SUMMERSIDE,-17.7,2025-12-15,Groceries
OMAN FREELANCE GIG INCOME LTD,5353.36,2025-01-28,Business or Freelance Income
www.almajdprivateschool.com,-4085.78,2026-02-04,Education
POS 828901-BUDGET CAR RENTAL OMAN - 463 P O BOX 325,-6526.31,2026-04-19,Fuel and Transport
WAL Cr2146672881818 BM,-8050.16,2025-11-24,Charity Donations
txnHAWANASALALAHPROPERTIES,-1028.49,2026-05-07,Rent Payments
echeloninsurancecanadadebit,-295.53,2025-12-14,Insurance
BANDARSEAFOODTXNID:1361905,-34.35,2026-05-08,Dining and Cafes
UNITED FINANCE INSURANCE:PAY,-160.07,2026-05-12,Insurance
POS 838540-thw-boysgirlsclubscanada,-1556.79,2025-12-05,Charity Donations
RECEIVED_FROM_Montreal_General_Hospital,438.51,2025-01-29,Medical and Health
RECEIVED_FROM_Muscat_Electricity_Salary,23857.78,2026-04-29,Salary / Payroll
BRAMP_39,-5630.21,2025-12-21,Charity Donations
INTERAC DIPTYQUE CANADA PORT MOODY,-107.61,2025-11-13,Shopping & Retail
POS INSUREYE CANADA **1014,-191.52,2026-01-22,Insurance
TRF TO BEDDING MASTERS OMAN,-137.25,2026-02-09,Home Goods and Furniture
PACECREDITUNIONLTD,358.25,2026-04-29,Bank Charges
nationallifeinsuranceomanCHICOUTIMI,-255.89,2025-12-19,Insurance
POS 210657-NORTHBRIDGE INSURANCE - 159 P O BOX 327,-863.78,2026-02-06,Insurance
VISADEBITINVESCOCANADAHAI,-772.75,2026-05-05,Savings and Investments
NIZWA MUNICIPALITY_FOR,-105.38,2026-04-13,Housing and Utilities
EASTLINK CANADA_AL ,-58.0,2026-03-24,Telecom
KRONOSPAYROLL/SAINT-JEAN-SUR-RICHELIEU,23783.66,2026-02-28,Salary / Payroll
ATMCashDEPPayworksCanada732001,18066.57,2026-12-30,Salary / Payroll
POTTERY BARN OMAN:REC,-339.63,2026-03-03,Home Goods and Furniture
CARLETON UNIVERSITY CARD*3169,-4631.03,2026-01-18,Education
ATMCashWithdrwSalamAir11152002:56:09,-149.76,2025-12-26,Travel and Hotels
E-TRANSFER CAMH FOUNDATION CANADA,-3880.77,2026-02-09,Charity Donations
EMISSIONSTESTONTARIO*3036,-3164.35,2026-01-07,Vehicle Loans and Fines
E-TRANSFERTRANSPORTCANADA,-380.65,2025-11-10,Government Services
Transfer from Al Araimi Boulevard Shops,249.42,2026-04-29,Shopping & Retail
@oabsavingsdeposit,-1413.19,2026-02-04,Savings and Investments
SAPPAYROLL_OKO,37705.51,2026-12-30,Salary / Payroll
www.hsbcoman.com,-495.11,2026-04-09,Bank Charges
MASTERCARD AMERICAN EXPRESS CANADA *9321,-954.25,2025-12-09,Other / Uncategorized
OMAN DIABETES ASSOCIATION#9110,-1128.2,2025-12-10,Charity Donations
@albatinahinternationalschool,-12988.59,2026-04-27,Education
VODAFONE OMAN *6463,-61.94,2026-04-28,Telecom
Ibri Municipality - payment,-274.71,2026-03-02,Housing and Utilities
ALSULTANARESTAURANTPOSPRINCEGEORGE,-250.59,2026-02-09,Dining and Cafes
ALBATINAHFURNITURE0511,-485.39,2026-03-09,Home Goods and Furniture
RECEIVED_FROM_Kinex_Medical_Canada,2788.14,2025-01-29,Medical and Health
OABInvestment-payment,-817.54,2026-02-02,Savings and Investments
POS 691473-MIDAS FURNITURE - 196 P O BOX 558,-63.84,2026-05-19,Home Goods and Furniture
ATM Cash DEP Awin Canada 199651,2825.54,2025-02-28,Business or Freelance Income
risepeoplecanadaSTOUFFVILLE,22205.22,2025-05-30,Salary / Payroll
Air Canada Trnsfr,22758.43,2026-01-29,Fuel and Transport
BANKDHOFARTERMDEPOSITSERVICECHARGE,-1962.25,2026-02-15,Savings and Investments
PAYMENT TO INSTACART CANADA FOR October 2019,-369.58,2025-12-14,Other / Uncategorized
POS 224616-thw-amnestyinternationalcanada,-8815.48,2026-01-02,Charity Donations
ATMCashWithdrwSherbourneProperties22289613:34:35,-1368.91,2026-04-28,Rent Payments
WALCr9674617423577BM,-66.31,2026-03-13,Vehicle Loans and Fines
RECEIPT QURUM INTERNATIONAL PRIVATE SCHOOL ANCASTER,-2090.77,2025-11-02,Education
PIZZAVILLE CANADA_26919,-281.15,2026-01-10,Dining and Cafes
CANACCORD GENUITY CANADA *7985,-781.78,2026-01-04,Savings and Investments
SOHAR MARKET CARD*7570,-115.92,2026-02-10,Groceries
NISSANFINANCEOMAN:PAY,-1703.32,2026-04-17,Vehicle Loans and Fines
ATM Cash Withdrw PayPal Transfer 873201 02:48:45,3562.1,2025-04-30,Business or Freelance Income
Muscat Municipality Store #240,-709.63,2026-04-06,Government Services
RECEIPT DOLLAR RENT A CAR OMAN WOODSTOCK ONTARIO,-27066.65,2026-04-09,Fuel and Transport
MANITOBAPUBLICINSURANCEMPISERVICECHARGE,-439.93,2026-03-19,Insurance
PUR-PARACORP,-123.81,2026-02-07,Bank Charges
Wallet Trx 4779249585559 MUSCAT MUNICIPALITY PARKING,-219.01,2026-05-24,Housing and Utilities
WAL Cr7750490737466 BM,-11138.72,2025-11-09,Education
SYLVAN LEARNING CANADA 0403,-4237.54,2026-03-10,Education
txn RCMP PAY CANADA,210.09,2026-02-28,Government Support and Pensions
FLEXOFFERSCANADATXNID:2636172,471.68,2026-04-28,Business or Freelance Income
MAPLEHEALTHCANADA_99092,-3520.11,2026-02-03,Medical and Health
DESJARDINS MORTGAGE#1447,-628.78,2025-12-22,Loan Payments
@evocarshare,-2674.0,2026-04-23,Fuel and Transport
ATM Cash DEP DoorDash Canada 216915,-690.07,2026-02-09,Other / Uncategorized
PAYMENT TO CIRCLE K CANADA FOR September 2020,-194.22,2026-03-26,Groceries
E-TRANSFERDENTALCORPCANADA,-852.2,2026-04-19,Medical and Health
KHAN ACADEMY CANADA PAYMENT,-543.13,2025-12-01,Other / Uncategorized
WILBUR MEXICANA TORONTO 2906,-49.52,2025-11-07,Dining and Cafes
DESJARDINS ONLINE BROKERAGE / NIAGARA FALLS ONTARIO,-214.65,2026-04-10,Savings and Investments
OMAN INVESTMENT CERTIFICATE SERVICE CHARGE,-433.32,2026-01-03,Savings and Investments
Wallet Trx 8437246981391 NIAGARA TRANSIT,-33766.4,2025-12-04,Fuel and Transport
UKG PAYROLL CANADA SERVICE CHARGE,9587.81,2025-12-28,Salary / Payroll
ROPTRAFFICDEPARTMENTSERVICECHARGE,-10736.67,2026-03-24,Vehicle Loans and Fines
BELLBUSINESSCANADAPAYMENT,-127.42,2025-12-07,Telecom
SAF PENSION OMAN LLC,859.05,2026-01-29,Government Support and Pensions
ATM Cash DEP National Healthcare College 943987,-11866.12,2026-01-13,Education
www.centralbankofoman.com,-548.22,2026-02-15,Government Services
POS PURCHASE SCOTT MISSION TORONTO Aug 28,-4296.93,2026-02-24,Charity Donations
